"GeoFIPS","GeoName","Region","Table","LineCode","IndustryClassification","Description","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015"
"29015","Benton, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2282,2508,2642,2888,3632,3683,4107,4545,5128,5834,6420,6125,7181,7741,8295,9570,9977,10624,10696,11209,11928,11854,12762,13510,13970,14602,15250,16194,17211,17859,18563,19737,20443,20784,21190,23143,23075,24086,24912,26816,27939,28484,29697,30280,31706,32778,34320
"29017","Bollinger, MO","4","CA1","1","...","Personal income (thousands of dollars)",16062,19137,20172,23214,28849,28199,31834,37093,39684,48819,56433,56014,66671,69534,71967,83082,90039,93852,98162,103942,113101,118251,125091,134513,142394,151547,158892,166938,182682,191146,200856,224836,230357,234920,245748,268114,274142,275703,286034,312486,321456,320314,338410,356496,353973,354537,357529
"29017","Bollinger, MO","4","CA1","2","...","Population (persons) 1/",8946,8915,9334,9466,9388,9532,9872,9801,10066,10113,10181,10313,10341,10192,10261,10275,10377,10402,10517,10562,10539,10664,10696,10782,10948,11139,11233,11420,11513,11617,11891,12047,12294,12367,12400,12427,12466,12496,12554,12429,12412,12342,12382,12402,12439,12373,12182
"29017","Bollinger, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",1795,2147,2161,2452,3073,2958,3225,3785,3942,4827,5543,5431,6447,6822,7014,8086,8677,9022,9334,9841,10732,11089,11695,12476,13006,13605,14145,14618,15867,16454,16891,18663,18737,18996,19818,21575,21991,22063,22784,25142,25899,25953,27331,28745,28457,28654,29349
"29019","Boone, MO","4","CA1","1","...","Personal income (thousands of dollars)",256478,282962,313824,348491,396442,447773,507910,578607,646446,731113,828816,930950,1019788,1104195,1218738,1313380,1405759,1499850,1604849,1705774,1837286,1984646,2141942,2332052,2492443,2659064,2818739,3016908,3235122,3380192,3537707,3775872,4015800,4143700,4345702,4686974,4896410,5220998,5464303,5855509,6102770,6050656,6361911,6737299,6897834,7099754,7401758
"29019","Boone, MO","4","CA1","2","...","Population (persons) 1/",79517,81073,82578,84046,88593,90958,88769,92528,94134,96886,97649,100776,102163,103024,103564,104531,104800,106045,107382,109331,111171,112827,115171,117651,120329,122817,125520,128366,130981,132601,134081,135940,138181,140695,143019,145348,148786,152784,155666,158089,160565,163200,166000,168730,171126,173019,174974
"29019","Boone, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3225,3490,3800,4146,4475,4923,5722,6253,6867,7546,8488,9238,9982,10718,11768,12565,13414,14144,14945,15602,16527,17590,18598,19822,20714,21651,22456,23502,24699,25491,26385,27776,29062,29452,30385,32247,32909,34172,35103,37039,38008,37075,38325,39929,40309,41035,42302
"29021","Buchanan, MO","4","CA1","1","...","Personal income (thousands of dollars)",294313,314662,341501,368145,401251,429541,470638,516755,565912,619240,690054,768148,854891,923892,958237,1034417,1082618,1119418,1150952,1210733,1308514,1331102,1397939,1471291,1523027,1592990,1630313,1706949,1798285,1868055,1972670,2126489,2143250,2209735,2254176,2352413,2422767,2577547,2667580,2853658,2818587,2810540,2985793,3106191,3127691,3185739,3265538
"29021","Buchanan, MO","4","CA1","2","...","Population (persons) 1/",88131,86997,87834,88531,88288,87791,87911,88784,89202,88701,88399,87732,86920,86284,85928,85432,84976,84902,84425,83453,83237,83214,83467,84199,84717,84556,84368,84462,84841,85306,85602,86192,86026,86027,85887,86039,86378,86543,87740,88317,89233,89090,89602,89822,89758,89525,89100
"29021","Buchanan, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",3339,3617,3888,4158,4545,4893,5354,5820,6344,6981,7806,8756,9835,10708,11152,12108,12740,13185,13633,14508,15720,15996,16748,17474,17978,18839,19324,20210,21196,21898,23045,24672,24914,25687,26246,27341,28048,29783,30403,32312,31587,31547,33323,34582,34846,35585,36650
"29023","Butler, MO","4","CA1","1","...","Personal income (thousands of dollars)",78098,89213,100785,110190,130578,143471,161515,175736,197273,215436,236618,260406,302394,309886,340464,380299,395944,415254,430314,448995,483045,504594,551837,599463,642295,669593,729611,759027,804325,850415,885052,930626,959799,979764,1058885,1121471,1137885,1150686,1190561,1293369,1316057,1344137,1377166,1422114,1395651,1428409,1426477
"29023","Butler, MO","4","CA1","2","...","Population (persons) 1/",34187,33798,35007,35883,36172,36079,37408,37960,38176,38005,37859,37722,37756,37580,37841,38564,38483,38278,38409,38162,38390,38863,39381,39675,40107,40243,40414,40666,40771,40924,40945,40826,40837,41068,41131,41476,41995,42246,42109,42351,42683,42796,42989,42997,42932,42887,42951
"29023","Butler, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2284,2640,2879,3071,3610,3977,4318,4630,5167,5669,6250,6903,8009,8246,8997,9862,10289,10848,11203,11765,12583,12984,14013,15109,16015,16639,18053,18665,19728,20780,21616,22795,23503,23857,25744,27039,27096,27238,28273,30539,30833,31408,32035,33075,32508,33306,33212
"29025","Caldwell, MO","4","CA1","1","...","Personal income (thousands of dollars)",22289,26019,27458,32877,38668,39819,45983,47183,57195,64064,71792,67894,82954,80738,80862,91337,102733,100764,100530,100737,106663,104597,108705,125191,128547,140513,146542,164030,175505,187620,196316,224840,226587,210580,214135,234400,226594,225559,255404,267491,267745,263893,279776,271053,282637,308059,295974
"29025","Caldwell, MO","4","CA1","2","...","Population (persons) 1/",8489,8380,8452,8759,8837,8819,8969,8912,8849,8849,8816,8649,8590,8493,8358,8241,8253,8268,8340,8362,8390,8384,8369,8461,8451,8603,8556,8599,8725,8811,8920,8975,9006,9041,9152,9230,9273,9343,9395,9359,9365,9445,9209,9113,9064,9017,9014
"29025","Caldwell, MO","4","CA1","3","...","Per capita personal income (dollars) 2/",2626,3105,3249,3754,4376,4515,5127,5294,6463,7240,8143,7850,9657,9506,9675,11083,12448,12187,12054,12047,12713,12476,12989,14796,15211,16333,17127,19075,20115,21294,22009,25052,25160,23292,23398,25395,24436,24142,27185,28581,28590,27940,30381,29744,31182,34164,32835
